List,Date Adquired,Date Started,Second Date,Platform,Game,Giantbomb id,Time Played,Time Finish,Playstyle,Tags
Queue,2018-05-17,,,PC,8-bit Armies,,,,,
Queue,2018-05-17,,,PC,Acceleration of SUGURI 2,,,,,
Queue,2017-01-01,,,PC,Amnesia: The Dark Descent,,,,,
Queue,2018-01-03,,,PC,Aragami,,,,,
Queue,2018-02-19,,,PC,Arma 3,,,,,
Queue,2019-03-26,,,PC,Ashes of the Singularity: Escalation,,,,,
Queue,2016-06-03,,,PC,Assassin's Creed Chronicles: China,,,,,
Queue,2016-06-03,,,PC,Assassin's Creed Rogue ,,,,,
Queue,2018-10-28,,,PC,Batman Arkham Origins,,,,,
Queue,2018-10-28,,,PC,Batman: Arkham Knight,,,,,
Queue,2018-01-18,,,PC,Battlevoid: Harbinger,,,,,
Queue,2018-07-31,,,PC,Bayonetta,,,,,
Queue,2018-05-17,,,PC,Bear With Me,,,,,
Queue,2018-01-03,,,PC,Beholder,,,,,
Playing,2018-05-17,,,PC,Faster Than Light,,,,,
Playing,2018-05-17,,,PC,Homeworld Remastered Collection,,,,,
Playing,2017-01-01,,,PC,Valkyrie Chronicles,,,,,
Playing,2018-01-03,,,PC,Door Kickers,,,,,
Playing,2018-02-19,,,PC,Downwell,,,,,
Playing,2019-03-26,,,PC,TIS-100,,,,,
Playing,2016-06-03,,,PC,Volgarr the Viking,,,,,
Playing,2016-06-03,,,PC,Nuclear Throne,,,,,
Playing,2018-10-28,,,PC,Darkest Dungeon,,,,,
Playing,2018-10-28,,,PC,Chronotrigger DS,,,,,
Playing,2018-01-18,,,PC,Wolfenstein 3D,,,,,
Playing,2018-07-31,,,PC,Tooth and Tail,,,,,
Playing,2018-05-17,,,PC,Flinthook,,,,,
Playing,2018-01-03,,,PC,Kingdom: Classic,,,,,
Abandoned,,,,PC,Shadow Warrior Viscera Cleanup,,,,,
Finished,2016-07-03,,2016-07-17,PC,The Stanley Parable,,,,,
Finished,2016-07-03,,2016-07-17,PC,Thomas Was Alone,,,,,
Finished,2016-07-03,,2016-07-19,PC,Brütal Legend,,,,,
Finished,2016-03-06,,2016-07-19,PC,Trine 3: The Artifacts of Power,,,,,
Finished,2016-07-03,,2016-07-29,PC,Metal Gear Solid V: The Phantom Pain,,,,,
Finished,2016-07-04,,2016-08-14,PC,Psychonauts,,,,,
Finished,2016-07-03,,2016-08-16,PC,Batman: Arkham City,,,,,
Finished,2016-07-03,,2016-08-19,PC,Hand of Fate,,,,,
Finished,2016-07-03,,2016-08-22,PC,Metal Gear Rising: Revengeance,,,,,
Finished,2016-06-30,,2016-09-03,PC,Grand Theft Auto V,,,,,
Finished,2016-08-27,,2016-12-21,PC,Galak-Z: The Dimensional,,,,,
Finished,2016-07-04,,2016-12-22,PC,Serious Sam HD: The First Encouter,,,,,
Finished,2016-12-21,,2016-12-26,PC,DOOM,,,,,
Finished,2016-03-06,,2016-12-26,PC,Duet,,,,,
Finished,2016-12-27,,2016-12-30,PC,ABZÜ,,,,,
Finished,2016-11-02,,2017-01-01,PC,Titan Souls,,,,,
Finished,2016-07-04,,2017-01-26,PC,Giana Sisters: Twisted Dreams,,,,,
Finished,2016-03-06,,2017-01-26,PC,Outlast,,,,,
Finished,2015-06-14,,2017-01-27,PC,The Banner Saga,,,,,
Finished,2016-07-03,,2017-01-28,PC,6180 The Moon,,,,,
Played,,,,PC,Incandescent,,,,,
Played,2014-09-23,,,PC,Luftrausers,,,,,
Played,2014-09-23,,,PC,Race The Sun,,,,,
Played,,,,PC,Planetbase,,,,,
Played,,,,PC,Prison Architect,,,,,
